*DEBUG* 	2016/09/20 - 14:01:00: |1474372860.2498|addButton|{"label":"En 3fois","position":2,"height":60,"displayType":"bloc","nbPayment":3,"reportPayment":0,"minAmount":null,"maxAmount":null,"executedAt":3}
*DEBUG* 	2016/09/20 - 14:01:12: |1474372872.0115|OAuth|"Logout"
*DEBUG* 	2016/09/20 - 14:01:17: |1474372877.3576|OAuth|"Login"
*DEBUG* 	2016/09/20 - 14:07:32: |1474373252.6172|submitPaygreenModuleAccount-PS_PG_activate_account|"1"
*DEBUG* 	2016/10/27 - 15:11:21: |1477573881.4186|OAuth|"Login"
*DEBUG* 	2016/10/27 - 15:11:28: |1477573888.1865|OAuth|"Logout"
*DEBUG* 	2016/10/31 - 09:51:43: |1477903903.1452|hookDisplayPayment|{"id":68,"id_shop_group":"1","id_shop":"1","id_address_delivery":"9","id_address_invoice":"9","id_currency":"1","id_customer":"6","id_guest":"536","id_lang":"1","recyclable":0,"gift":0,"gift_message":"","mobile_theme":"0","date_add":"2016-10-24 10:03:43","secure_key":"b6631a1c77caa418e4d1e2ff46d87009","id_carrier":1,"date_upd":"2016-10-31 09:51:42","checkedTos":false,"pictures":null,"textFields":null,"delivery_option":"a:1:{i:9;s:2:\"1,\";}","allow_seperated_package":"0","id_shop_list":null,"force_id":false,"checkedTOS":1}
*DEBUG* 	2016/10/31 - 09:52:09: |1477903929.7899|validateWebPayment|"RETURN"
*DEBUG* 	2016/10/31 - 09:52:11: |1477903931.2448|validateWebPayment-validateOrder|55
*DEBUG* 	2016/10/31 - 09:52:11: |1477903931.2455|InsertPaygreenTransaction|"New Transaction"
*DEBUG* 	2016/10/31 - 09:52:11: |1477903931.3094|Id existant : |55
*DEBUG* 	2016/10/31 - 09:52:11: |1477903931.3095|validateWebPayment-order|{"id_address_delivery":"9","id_address_invoice":"9","id_shop_group":"1","id_shop":"1","id_cart":"68","id_currency":"1","id_lang":"1","id_customer":"6","id_carrier":"1","current_state":"23","secure_key":"b6631a1c77caa418e4d1e2ff46d87009","payment":"Paygreen","module":"paygreen","conversion_rate":"1.000000","recyclable":"0","gift":"0","gift_message":"","mobile_theme":"0","shipping_number":"","total_discounts":"0.000000","total_discounts_tax_incl":"0.000000","total_discounts_tax_excl":"0.000000","total_paid":"61.190000","total_paid_tax_incl":"61.190000","total_paid_tax_excl":"50.990000","total_paid_real":"0.000000","total_products":"50.990000","total_products_wt":"61.190000","total_shipping":"0.000000","total_shipping_tax_incl":"0.000000","total_shipping_tax_excl":"0.000000","carrier_tax_rate":"20.000","total_wrapping":"0.000000","total_wrapping_tax_incl":"0.000000","total_wrapping_tax_excl":"0.000000","invoice_number":"0","delivery_number":"0","invoice_date":"0000-00-00 00:00:00","delivery_date":"0000-00-00 00:00:00","valid":"0","date_add":"2016-10-31 09:52:09","date_upd":"2016-10-31 09:52:10","reference":"SZHOASOTH","round_mode":"2","round_type":"2","id":55,"id_shop_list":null,"force_id":false}
*DEBUG* 	2016/10/31 - 10:01:47: |1477904507.6683|hookDisplayPayment|{"id":69,"id_shop_group":"1","id_shop":"1","id_address_delivery":"9","id_address_invoice":"9","id_currency":"1","id_customer":"6","id_guest":"251","id_lang":"1","recyclable":0,"gift":0,"gift_message":"","mobile_theme":"0","date_add":"2016-10-31 10:01:19","secure_key":"b6631a1c77caa418e4d1e2ff46d87009","id_carrier":1,"date_upd":"2016-10-31 10:01:46","checkedTos":false,"pictures":null,"textFields":null,"delivery_option":"a:1:{i:9;s:2:\"1,\";}","allow_seperated_package":"0","id_shop_list":null,"force_id":false,"checkedTOS":1}
*DEBUG* 	2016/10/31 - 10:02:05: |1477904526.0012|validateWebPayment|"RETURN"
*DEBUG* 	2016/10/31 - 10:02:44: |1477904564.3098|validateWebPayment|"RETURN"
*DEBUG* 	2016/10/31 - 10:02:45: |1477904565.2881|hookDisplayPayment|{"id":69,"id_shop_group":"1","id_shop":"1","id_address_delivery":"9","id_address_invoice":"9","id_currency":"1","id_customer":"6","id_guest":"251","id_lang":"1","recyclable":"0","gift":"0","gift_message":"","mobile_theme":"0","date_add":"2016-10-31 10:01:19","secure_key":"b6631a1c77caa418e4d1e2ff46d87009","id_carrier":"1","date_upd":"2016-10-31 10:01:46","checkedTos":false,"pictures":null,"textFields":null,"delivery_option":"a:1:{i:9;s:2:\"1,\";}","allow_seperated_package":"0","id_shop_list":null,"force_id":false,"checkedTOS":1}
*DEBUG* 	2016/11/04 - 10:52:00: |1478253120.2648|validateWebPayment|"CALLBACK"
*DEBUG* 	2016/11/04 - 10:52:00: |1478253120.2726|isPaygreenTransacExist|"Same pid"
*DEBUG* 	2016/11/04 - 10:52:00: |1478253120.2728|Order already exists => 55|null
*DEBUG* 	2016/11/04 - 10:52:00: |1478253120.2743|isPaygreenTransacExist|"Same pid"
*DEBUG* 	2016/11/04 - 10:52:00: |1478253120.2744|Id existant : |55
*DEBUG* 	2016/11/04 - 10:52:00: |1478253120.2745|validateWebPayment-order|{"id_address_delivery":"9","id_address_invoice":"9","id_shop_group":"1","id_shop":"1","id_cart":"68","id_currency":"1","id_lang":"1","id_customer":"6","id_carrier":"1","current_state":"23","secure_key":"b6631a1c77caa418e4d1e2ff46d87009","payment":"Paygreen","module":"paygreen","conversion_rate":"1.000000","recyclable":"0","gift":"0","gift_message":"","mobile_theme":"0","shipping_number":"","total_discounts":"0.000000","total_discounts_tax_incl":"0.000000","total_discounts_tax_excl":"0.000000","total_paid":"61.190000","total_paid_tax_incl":"61.190000","total_paid_tax_excl":"50.990000","total_paid_real":"0.000000","total_products":"50.990000","total_products_wt":"61.190000","total_shipping":"0.000000","total_shipping_tax_incl":"0.000000","total_shipping_tax_excl":"0.000000","carrier_tax_rate":"20.000","total_wrapping":"0.000000","total_wrapping_tax_incl":"0.000000","total_wrapping_tax_excl":"0.000000","invoice_number":"0","delivery_number":"0","invoice_date":"0000-00-00 00:00:00","delivery_date":"0000-00-00 00:00:00","valid":"0","date_add":"2016-10-31 09:52:09","date_upd":"2016-10-31 09:52:10","reference":"SZHOASOTH","round_mode":"2","round_type":"2","id":55,"id_shop_list":null,"force_id":false}
*DEBUG* 	2016/11/04 - 10:52:01: |1478253121.1317|validateWebPayment|"CALLBACK"
*DEBUG* 	2016/11/16 - 12:09:09: |1479294549.5553|hookDisplayPayment|{"id":70,"id_shop_group":"1","id_shop":"1","id_address_delivery":"11","id_address_invoice":"11","id_currency":"1","id_customer":"8","id_guest":"561","id_lang":"1","recyclable":0,"gift":0,"gift_message":"","mobile_theme":"0","date_add":"2016-11-16 12:07:27","secure_key":"bb8dc328840bff11724fd9862bbaa5a2","id_carrier":1,"date_upd":"2016-11-16 12:09:08","checkedTos":false,"pictures":null,"textFields":null,"delivery_option":"a:1:{i:11;s:2:\"1,\";}","allow_seperated_package":"0","id_shop_list":null,"force_id":false,"checkedTOS":1}
*DEBUG* 	2016/11/16 - 12:13:30: |1479294810.6868|hookDisplayPayment|{"id":70,"id_shop_group":"1","id_shop":"1","id_address_delivery":"11","id_address_invoice":"11","id_currency":"1","id_customer":"8","id_guest":"561","id_lang":"1","recyclable":0,"gift":0,"gift_message":"","mobile_theme":"0","date_add":"2016-11-16 12:07:27","secure_key":"bb8dc328840bff11724fd9862bbaa5a2","id_carrier":1,"date_upd":"2016-11-16 12:13:29","checkedTos":false,"pictures":null,"textFields":null,"delivery_option":"a:1:{i:11;s:2:\"1,\";}","allow_seperated_package":"0","id_shop_list":null,"force_id":false,"checkedTOS":1}
*DEBUG* 	2016/12/12 - 15:15:06: |1481552106.0205|hookDisplayPayment|{"id":71,"id_shop_group":"1","id_shop":"1","id_address_delivery":"9","id_address_invoice":"9","id_currency":"1","id_customer":"6","id_guest":"586","id_lang":"1","recyclable":0,"gift":0,"gift_message":"","mobile_theme":"0","date_add":"2016-12-12 14:54:24","secure_key":"b6631a1c77caa418e4d1e2ff46d87009","id_carrier":1,"date_upd":"2016-12-12 15:15:05","checkedTos":false,"pictures":null,"textFields":null,"delivery_option":"a:1:{i:9;s:2:\"1,\";}","allow_seperated_package":"0","id_shop_list":null,"force_id":false,"checkedTOS":1}
*DEBUG* 	2016/12/12 - 15:27:00: |1481552820.0194|hookDisplayPayment|{"id":71,"id_shop_group":"1","id_shop":"1","id_address_delivery":"9","id_address_invoice":"9","id_currency":"1","id_customer":"6","id_guest":"586","id_lang":"1","recyclable":0,"gift":0,"gift_message":"","mobile_theme":"0","date_add":"2016-12-12 14:54:24","secure_key":"b6631a1c77caa418e4d1e2ff46d87009","id_carrier":1,"date_upd":"2016-12-12 15:26:59","checkedTos":false,"pictures":null,"textFields":null,"delivery_option":"a:1:{i:9;s:2:\"1,\";}","allow_seperated_package":"0","id_shop_list":null,"force_id":false,"checkedTOS":1}
*DEBUG* 	2016/12/12 - 15:29:34: |1481552974.2572|hookDisplayPayment|{"id":71,"id_shop_group":"1","id_shop":"1","id_address_delivery":"9","id_address_invoice":"9","id_currency":"1","id_customer":"6","id_guest":"586","id_lang":"1","recyclable":0,"gift":0,"gift_message":"","mobile_theme":"0","date_add":"2016-12-12 14:54:24","secure_key":"b6631a1c77caa418e4d1e2ff46d87009","id_carrier":1,"date_upd":"2016-12-12 15:29:33","checkedTos":false,"pictures":null,"textFields":null,"delivery_option":"a:1:{i:9;s:2:\"1,\";}","allow_seperated_package":"0","id_shop_list":null,"force_id":false,"checkedTOS":1}
*DEBUG* 	2016/12/12 - 15:30:13: |1481553013.1879|hookDisplayPayment|{"id":71,"id_shop_group":"1","id_shop":"1","id_address_delivery":"9","id_address_invoice":"9","id_currency":"1","id_customer":"6","id_guest":"586","id_lang":"1","recyclable":0,"gift":0,"gift_message":"","mobile_theme":"0","date_add":"2016-12-12 14:54:24","secure_key":"b6631a1c77caa418e4d1e2ff46d87009","id_carrier":1,"date_upd":"2016-12-12 15:30:12","checkedTos":false,"pictures":null,"textFields":null,"delivery_option":"a:1:{i:9;s:2:\"1,\";}","allow_seperated_package":"0","id_shop_list":null,"force_id":false,"checkedTOS":1}
*DEBUG* 	2016/12/12 - 15:32:34: |1481553154.7484|hookDisplayPayment|{"id":71,"id_shop_group":"1","id_shop":"1","id_address_delivery":"9","id_address_invoice":"9","id_currency":"1","id_customer":"6","id_guest":"586","id_lang":"1","recyclable":0,"gift":0,"gift_message":"","mobile_theme":"0","date_add":"2016-12-12 14:54:24","secure_key":"b6631a1c77caa418e4d1e2ff46d87009","id_carrier":1,"date_upd":"2016-12-12 15:32:34","checkedTos":false,"pictures":null,"textFields":null,"delivery_option":"a:1:{i:9;s:2:\"1,\";}","allow_seperated_package":"0","id_shop_list":null,"force_id":false,"checkedTOS":1}
*DEBUG* 	2016/12/12 - 15:32:42: |1481553162.7193|hookDisplayPayment|{"id":71,"id_shop_group":"1","id_shop":"1","id_address_delivery":"9","id_address_invoice":"9","id_currency":"1","id_customer":"6","id_guest":"586","id_lang":"1","recyclable":0,"gift":0,"gift_message":"","mobile_theme":"0","date_add":"2016-12-12 14:54:24","secure_key":"b6631a1c77caa418e4d1e2ff46d87009","id_carrier":1,"date_upd":"2016-12-12 15:32:42","checkedTos":false,"pictures":null,"textFields":null,"delivery_option":"a:1:{i:9;s:2:\"1,\";}","allow_seperated_package":"0","id_shop_list":null,"force_id":false,"checkedTOS":1}
